;Table name : Molecules
;MariaDB types
;INT NOT NULL : ObjID,ID
;BOOLEAN NOT NULL DEFAULT 0 : Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO
;FLOAT NOT NULL DEFAULT -99.0 :Mol_Flow
;VARCHAR(255) NOT NULL DEFAULT 'N.A.': Pub_mol,Pub_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.': Mol_tracer
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,Mol_CO,Mol_C,Mol_HCN,Mol_HCO,Mol_N2H,Mol_CS,Mol_CN,Mol_CH3OH,Mol_SiO,Pub_mol,Mol_Flow,Mol_tracer,Pub_F,ID
97,1,0,0,0,1,0,0,0,0,Palau et al 2012,0,N.A.,N.A.,97
101,1,0,1,1,1,0,0,1,0,Dunham et al 2011/Pineda et al 2011/Maureira et al 2017,1,12CO,Pineda et al 2011,101
117,1,0,0,0,0,0,0,0,0,Schwarz et al 2012,1,CO,Lee et al 2010,117
142,1,0,1,1,0,1,1,0,0,Riaz et al 2018/Riaz et al 2019,0,N.A.,N.A.,142
162,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,162
163,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,163
164,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,164
166,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,166
167,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,167
168,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,168
169,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,169
171,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,171
172,0,0,0,0,0,0,0,0,0,N.A.,0,N.A.,Morata et al 2015,172
173,1,0,0,1,0,0,0,1,0,Hirano et al 2014/Gerin et al 2015,1,13CO,Hirano et al 2014,173
174,1,0,0,1,0,0,0,1,0,Hirano et al 2014/Gerin et al 2015,1,13CO,Hirano et al 2014,174
176,1,0,1,1,1,1,0,1,1,Schnee et al 2012/Stephens et al 2018/Maureira et al 2020,1,HCO,Schnee et al 2012/Maureira et al 2020,176
177,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,177
178,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,178
179,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,179
180,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,180
181,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,181
182,1,0,0,0,0,0,0,0,1,Santamaria-Miranda et al 2021,-99,N.A.,N.A.,182
