;Table name:Position
;MariaDB types
;INT NOT NULL : ObjID,ID
;FLOAT NOT NULL DEFAULT -99.0 : Distance,eDistance
;DOUBLE NOT NULL DEFAULT -99.0 : Decl,RA
;VARCHAR(30) NOT NULL DEFAULT "N.A." : Region,Type,Class,RA_hms,Decl_dms
;VARCHAR(255) NOT NULL DEFAULT "N.A." : Pub_Position
;CONSTRAINT PRIMARY KEY (ObjID)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID) ON DELETE CASCADE
;ObjID,RA,RA_hms,Decl,Decl_dms,Distance,eDistance,Region,Type,Class,Pub_Position,ID
195,51.35691667,03:25:25.66,30.74908194,+30:44:56.7,293.0,22.0,Perseus,VeLLO,0,"Chen2010,Tobin2016,Maureira2020",195
196,277.2583,18:29:02.12,0.5222,+00:31:20.7,436.0,9.0,Serpens,Proto-BD,I,Riaz2016,196
197,246.8083,16:27:13.96,-24.4747,-24:28:29.3,138.4,2.6,Ophiuchus,Pre-BD,N.A.,Andre2012,197
198,64.74225,04:18:58.14,28.2065278,+28:12:23.5,140.0,10.0,Taurus,Proto-BD,I,"White2004,Bulger2014",198
199,66.988779,04:27:57.32,26.321751,+26:19:18.03,140.0,10.0,Taurus,Proto-BD,I,"White2004,Bulger2014",199
200,73.0278333,04:52:06.68,30.7880611,+30:47:17.02,140.0,10.0,Taurus,Proto-BD,I,"White2004,Bulger2014",200
201,65.5017917,04:22:00.43944,15.5058917,+15:30:21.2148,140.0,10.0,Taurus,Proto-BD/D,I,Bulger2014,201
202,64.9440417,04:19:46.57,27.2153361,+27:12:55.21,140.0,10.0,Taurus,Proto-BD,I,"Bulger2014,DangDuc16",202
203,82.476458,05:29:54.35,12.2749111,+12:16:29.68,380.0,42.0,Lambda_Orionis,Proto-BD,0/I,Liu2016,203
204,70.302875,04:41:12.69,25.77668888,+25:46:36.08,140.0,10.0,Taurus,Proto-BD,I,Apai2005,204
205,234.7583,15:43:02.21,-34.1522,-34:09:07.71,150.0,20.0,Lupus-I,Proto-BD,0,Oya2014,205
206,85.1075,05:40:25.79,-2.8153944,-02:48:55.42,402.0,25.0,Sigma_Orionis,VeLLO,I,Riaz2015,206
207,84.6435417,05:38:34.45,-2.8976278,-02:53:51.46,402.0,25.0,Sigma_Orionis,VeLLO,I,Riaz2015,207
208,82.84570833,05:31:22.97,12.19297222,+12:11:34.7,400.0,40.0,Barnard-30,Pre-BD,N.A.,Huelamo2017,208
209,82.78870833,05:31:09.29,12.185777777,+12:11:08.8,400.0,40.0,Barnard-30,Pre-BD,N.A.,Huelamo2017,209
210,82.81383333,05:31:15.32,12.060611111,+12:03:38.2,400.0,40.0,Barnard-30,Pre-BD,N.A.,Huelamo2017,210
300,277.232391,18:28:55.7,0.495771,+00:29:44.8,436.0,9.0,Serpens,Proto-BD/D,0,Riaz2016,300
301,277.456573,18:29:49.5,1.285005,+01:17:06.0,436.0,9.0,Serpens,Proto-BD/D,I,Riaz2016,301
302,193.3770833,12:53:30.5,-77.1852778,-77:11:07,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,302
303,193.5720833,12:54:17.3,-77.1730556,-77:10:23,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,303
304,194.01375,12:56:03.3,-77.1952778,-77:11:43,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,304
305,193.4125,12:53:39.0,-77.2763889,-77:16:35,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,305
306,193.59125,12:54:21.9,-77.1163889,-77:06:59,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,306
307,193.55125,12:54:12.3,-77.1130556,-77:06:47,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,307
308,193.67,12:54:40.8,-77.0763889,-77:04:35,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,308
309,193.6154167,12:54:27.7,-77.0741667,-77:04:27,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,309
310,193.4366667,12:53:44.8,-77.0786111,-77:04:43,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,310
311,192.9825,12:51:55.8,-77.1452778,-77:08:43,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,311
312,192.9125,12:51:39.0,-77.1486111,-77:08:55,198.0,6.0,Chamaeleon-II,Pre-BD,N.A.,deGregorio2016,312
313,247.9032083,16:31:36.77,-24.0721583,-24:04:19.77,144.2,1.3,Ophiuchus,Proto-BD,I,Riaz&Bally2021,313
314,247.968,16:31:52.32,-24.9266944,-24:55:36.1,144.2,1.3,Ophiuchus,Proto-BD,0,Riaz&Bally2021,314
315,277.49025,18:29:57.66,1.2179444,+01:13:04.6,436.0,9.0,Serpens,Proto-BD,0,Riaz2021,315
316,277.4175,18:29:40.20,0.2536417,+00:15:13.11,436.0,9.0,Serpens,Proto-BD,I,"Riaz2018,Riaz2021",316
317,315.5883333,21:02:21.2,67.9055556,+67:54:20,341.0,2.0,Cepheus,VeLLO/D,I,"Kim16,Kim19",317
318,64.50125,04:18:00.30,27.6934167,+27:41:36.3,137.0,10.0,Taurus,Pre-BD,N.A.,Palau2012,318
319,277.2287500,18:28:54.90,0.3090778,+00:18:32.68,436.,9.,Serpens,Proto-BD,0/I,Riaz2018,319
320,277.1865833,18:28:44.78,0.8571639,+00:51:25.79,436.,9.,Serpens,Proto-BD,0/I,Riaz2018,320
321,277.5087083,18:30:02.09,1.2330500,+01:13:58.98,436.,9,Serpens,Proto-BD/D,0/I,Riaz2018,321
322,277.4974167,18:29:59.38,1.1780778,+01:10:41.08,436.,9,Serpens,Proto-BD,0/I,Riaz2018,322
323,277.3639583,18:29:27.35,0.6471528,+00:38:49.75,436.,9,Serpens,Proto-BD,0/I,Riaz2018,323
324,277.4669167,18:29:52.06,0.6121194,+00:36:43.63,436.,9,Serpens,Proto-BD,Flat,Riaz2018,324
325,246.61608333,16:26:27.86,-24.39987778,-24:23:59.56,137.,1.2,Ophiuchus,Proto-BD,0,"Kirk2017,Kawabe2018",325
326,246.61429167,16:26:27.43,-24.40505556,-24:24:18.26,137.,1.2,Ophiuchus,Proto-BD,0,"Kirk2017,Kawabe2018",326
327,235.56066667,15:42:14.56,-34.17375,-34:10:25.5,155.,8.,Lupus-I,VeLLO,I,Mowat2017,327

