;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
169,12,Spitzer
169,13,Spitzer
169,14,Spitzer
164,10,Spitzer
164,11,Spitzer
164,12,Spitzer
164,13,Spitzer
164,14,Spitzer
171,10,Spitzer
171,11,Spitzer
171,12,Spitzer
171,13,Spitzer
171,14,Spitzer
172,10,Spitzer
172,11,Spitzer
172,12,Spitzer
172,13,Spitzer
172,14,Spitzer
172,15,Spitzer
173,10,Spitzer
173,11,Spitzer
173,12,Spitzer
173,13,Spitzer
173,14,Spitzer
173,15,Spitzer
174,10,Spitzer
174,11,Spitzer
174,12,Spitzer
174,13,Spitzer
174,14,Spitzer
174,15,Spitzer
101,10,Spitzer
101,11,Spitzer
101,12,Spitzer
101,13,Spitzer
101,14,Spitzer
101,15,Spitzer
101,16,Spitzer
165,10,Spitzer
165,11,Spitzer
165,12,Spitzer
165,13,Spitzer
180,11,Spitzer
180,13,Spitzer
180,14,Spitzer
191,11,Spitzer
191,14,Spitzer
191,15,Spitzer
191,16,Spitzer
192,14,Spitzer
192,15,Spitzer
94,11,Spitzer
94,13,Spitzer
94,14,Spitzer
93,11,Spitzer
93,13,Spitzer
93,14,Spitzer
92,11,Spitzer
92,13,Spitzer
92,14,Spitzer
91,10,Spitzer
91,11,Spitzer
91,12,Spitzer
91,13,Spitzer
91,14,Spitzer
90,10,Spitzer
90,11,Spitzer
90,12,Spitzer
90,13,Spitzer
90,14,Spitzer
89,11,Spitzer
89,13,Spitzer
89,14,Spitzer
88,11,Spitzer
88,13,Spitzer
88,14,Spitzer
86,10,Spitzer
86,12,Spitzer
86,14,Spitzer
86,15,Spitzer
83,10,Spitzer
83,11,Spitzer
83,12,Spitzer
83,13,Spitzer
83,14,Spitzer
82,10,Spitzer
82,11,Spitzer
82,12,Spitzer
82,13,Spitzer
82,14,Spitzer
